id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id3084276,2,2016-03-18 19:48:09,2016-03-18 19:52:56,6,-73.97726440429686,40.76434326171875,-73.98226165771484,40.774269104003906,N,287
id3770788,2,2016-03-18 19:52:22,2016-03-18 19:56:33,1,-73.96338653564453,40.757957458496094,-73.95326232910156,40.77159881591797,N,251
id0926826,1,2016-03-18 18:11:36,2016-03-18 18:18:01,3,-73.94072723388672,40.79281997680664,-73.9456329345703,40.782814025878906,N,385
id1001017,2,2016-03-18 19:47:59,2016-03-18 19:50:55,5,-73.9566879272461,40.80086135864258,-73.95303344726562,40.80749130249024,N,176
id1509926,2,2016-03-18 18:47:34,2016-03-18 18:53:32,1,-73.99683380126955,40.75278091430664,-73.9901123046875,40.7392807006836,N,358
id0880983,2,2016-03-18 19:22:47,2016-03-18 19:31:47,2,-74.00701141357422,40.73298263549805,-73.9983139038086,40.724853515625,N,540
id0849033,1,2016-03-18 19:23:22,2016-03-18 20:06:27,1,-73.9900131225586,40.7570915222168,-73.94403076171875,40.6944694519043,N,2585
id2274056,2,2016-03-18 18:07:59,2016-03-18 18:47:10,1,-73.8656692504883,40.770408630371094,-74.00556945800781,40.748390197753906,N,2351
id2433768,1,2016-03-18 18:48:55,2016-03-18 19:17:30,1,-73.96827697753906,40.787017822265625,-73.993408203125,40.75400924682617,N,1715
id1746292,2,2016-03-18 18:34:52,2016-03-18 18:37:42,2,-73.99282836914062,40.75825881958008,-74.00350189208984,40.74766159057617,N,170
id1555129,2,2016-03-18 18:19:10,2016-03-18 18:59:56,2,-73.99028778076173,40.7732810974121,-73.99067687988281,40.73149871826172,N,2446
id1887954,1,2016-03-18 18:53:31,2016-03-18 18:58:26,1,-73.98786926269531,40.75909423828125,-73.99004364013672,40.76475524902344,N,295
id0603894,2,2016-03-18 18:04:21,2016-03-18 18:08:06,1,-73.97136688232422,40.78729248046875,-73.9803237915039,40.7752342224121,N,225
id0071356,2,2016-03-18 18:20:04,2016-03-18 18:47:55,3,-73.97949981689453,40.76139831542969,-73.9900665283203,40.74182891845703,N,1671
id0198236,2,2016-03-18 19:16:52,2016-03-18 19:43:09,3,-73.97229766845702,40.79708099365234,-73.98594665527344,40.76174545288085,N,1577
id3846936,2,2016-03-18 18:39:12,2016-03-18 18:49:40,1,-73.95032501220702,40.77548599243164,-73.9681396484375,40.755455017089844,N,628
id3654083,2,2016-03-18 19:00:34,2016-03-18 19:06:25,1,-73.98486328125,40.742435455322266,-73.99123382568358,40.73253631591797,N,351
id0939474,1,2016-03-18 18:55:38,2016-03-18 19:11:13,1,-73.99371337890625,40.72011184692383,-73.93350219726562,40.705963134765625,N,935
id2407382,2,2016-03-18 18:07:24,2016-03-18 18:19:21,1,-73.98457336425781,40.779293060302734,-73.96244812011719,40.767181396484375,N,717
id3487127,1,2016-03-18 19:22:35,2016-03-18 19:40:42,2,-73.9854507446289,40.76195526123047,-73.954345703125,40.764060974121094,N,1087
id0500610,2,2016-03-18 18:13:01,2016-03-18 18:24:36,2,-73.96705627441406,40.79349136352539,-73.96328735351562,40.76918029785156,N,695
id3096417,2,2016-03-18 18:13:25,2016-03-18 18:29:25,1,-73.99275207519531,40.751949310302734,-73.9885482788086,40.76945877075195,N,960
id2642698,2,2016-03-18 18:20:58,2016-03-18 18:44:31,1,-73.97727966308595,40.764408111572266,-73.98091888427734,40.75040817260742,N,1413
id3855255,2,2016-03-18 18:32:43,2016-03-18 18:52:20,1,-73.98712158203125,40.75637817382813,-73.87359619140625,40.77259826660156,N,1177
id2532058,2,2016-03-18 19:13:13,2016-03-18 19:27:23,2,-74.0153045654297,40.71456527709961,-73.9905776977539,40.755943298339844,N,850
id2383434,1,2016-03-18 19:29:14,2016-03-18 19:36:38,1,-74.00202178955078,40.74017333984375,-73.98770141601562,40.73802947998047,N,444
id0669571,1,2016-03-18 19:14:31,2016-03-18 19:33:06,2,-73.98808288574219,40.73747634887695,-73.98661804199219,40.75841522216797,N,1115
id2305611,1,2016-03-18 18:27:45,2016-03-18 18:30:52,1,-73.97779846191406,40.78672409057617,-73.97084045410156,40.79579544067383,N,187
id1095243,1,2016-03-18 19:54:56,2016-03-18 20:19:38,2,-73.98822784423827,40.725601196289055,-73.98899078369139,40.76753616333008,N,1482
id1394603,1,2016-03-18 18:46:24,2016-03-18 18:54:49,2,-73.97109985351562,40.75083923339844,-73.98506927490234,40.73221206665039,N,505
id2212065,1,2016-03-18 18:53:11,2016-03-18 18:56:52,1,-73.96585845947266,40.76565170288085,-73.95851135253906,40.770652770996094,N,221
