,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
9,-74.00298309326173,40.72331237792969,-74.00155639648438,40.72882461547852
101,-73.97726440429686,40.76434326171875,-73.98226165771484,40.774269104003906
108,-73.96338653564453,40.757957458496094,-73.95326232910156,40.77159881591797
145,-73.97915649414062,40.74441146850585,-73.95426940917969,40.77548599243164
215,-73.94072723388672,40.79281997680664,-73.9456329345703,40.782814025878906
248,-73.9566879272461,40.80086135864258,-73.95303344726562,40.80749130249024
602,-73.99683380126955,40.75278091430664,-73.9901123046875,40.7392807006836
855,-73.97531890869139,40.75263977050781,-73.95819091796875,40.782020568847656
873,-73.95670318603516,40.77791213989258,-73.96122741699219,40.774238586425774
882,-74.00701141357422,40.73298263549805,-73.9983139038086,40.724853515625
1188,-73.96002197265625,40.77368927001953,-73.9710235595703,40.79098129272461
1212,-73.9900131225586,40.7570915222168,-73.94403076171875,40.6944694519043
1251,-73.8656692504883,40.770408630371094,-74.00556945800781,40.748390197753906
1339,-73.96827697753906,40.787017822265625,-73.993408203125,40.75400924682617
1361,-73.99282836914062,40.75825881958008,-74.00350189208984,40.74766159057617
1537,-73.99028778076173,40.7732810974121,-73.99067687988281,40.73149871826172
1584,-73.98786926269531,40.75909423828125,-73.99004364013672,40.76475524902344
1619,-73.97441101074219,40.74232864379883,-73.97605895996094,40.75130081176758
1652,-73.78514862060547,40.64852523803711,-74.00009155273438,40.7199592590332
1662,-73.97136688232422,40.78729248046875,-73.9803237915039,40.7752342224121
2386,-73.98358917236328,40.72591018676758,-73.9880599975586,40.735130310058594
2424,-73.97949981689453,40.76139831542969,-73.9900665283203,40.74182891845703
2438,-73.92633819580078,40.76080322265625,-73.9088592529297,40.77484893798828
2728,-73.97229766845702,40.797080993652344,-73.98594665527344,40.76174545288085
3108,-73.95032501220702,40.77548599243164,-73.9681396484375,40.755455017089844
3127,-73.98486328125,40.742435455322266,-73.99123382568358,40.73253631591797
3240,-73.96222686767578,40.77898406982422,-73.87461853027344,40.89579772949219
3362,-73.99371337890625,40.72011184692383,-73.93350219726562,40.705963134765625
3417,-73.97926330566406,40.75580978393555,-73.9854965209961,40.75309753417969
3505,-73.98457336425781,40.779293060302734,-73.96244812011719,40.767181396484375
3573,-73.9854507446289,40.76195526123047,-73.954345703125,40.764060974121094
3803,-73.96705627441406,40.79349136352539,-73.96328735351562,40.76918029785156
3813,-73.99275207519531,40.751949310302734,-73.9885482788086,40.76945877075195
3924,-73.97904205322266,40.76564407348633,-73.99076080322266,40.71921920776367
